epsilon,qtable
"[0.18579381375672493, 0.7740609345731032, 0.6302494097246091, 0.23939215007889333]","[0.5568000000000001,0.0,2.1257690755629683,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.059426169227852,2.924884106444801,0.4144000000000001,-0.13446400000000003],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.17655765760082995, 0.7740609345731032, 0.6302494097246091, 0.2274926628079612]","[0.5568000000000001,0.0,2.168596717481543,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.1155223924134496,3.339907285155841,0.4144000000000001,-0.13446400000000003],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.16785560673279679, 0.7740609345731032, 0.6302494097246091, 0.19536680091016057]","[0.5568000000000001,0.0,2.2692625396101693,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.3870472690405267,3.339907285155841,0.4144000000000001,-0.14757120000000004],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.15956349208227139, 0.7740609345731032, 0.6302494097246091, 0.19536680091016057]","[0.5568000000000001,0.0,2.34979519731307,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,2.12,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.3870472690405267,3.6719258281246727,0.4144000000000001,-0.14757120000000004],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.15187011439814124, 0.7740609345731032, 0.6302494097246091, 0.19536680091016057]","[0.7846400000000001,0.0,2.34979519731307,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,1.6560000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.3870472690405267,3.6719258281246727,0.4144000000000001,-0.14757120000000004],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.1444235446215457, 0.7740609345731032, 0.6302494097246091, 0.19536680091016057]","[0.7846400000000001,0.0,2.467344290350404,0.0,0.0,0.0],[0.22400000000000003,0.0,0.0,0.0,1.6560000000000001,-0.04000000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.3870472690405267,3.6719258281246727,0.4144000000000001,-0.15805696000000005],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.13733740706212766, 0.6642941371914554, 0.6302494097246091, 0.19536680091016057]","[0.8926720000000001,0.0,2.467344290350404,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.3870472690405267,3.6719258281246727,0.4144000000000001,-0.15805696000000005],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.13058808558548993, 0.6642941371914554, 0.6302494097246091, 0.18573608386547016]","[0.8926720000000001,0.0,2.5613835647802707,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.497145947732369,3.9375406624997384,0.4144000000000001,-0.15805696000000005],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.12420584312258147, 0.6642941371914554, 0.6302494097246091, 0.17661250073797427]","[0.8926720000000001,0.0,2.679113357824175,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.6277232641858537,4.150032529999791,0.4144000000000001,-0.15805696000000005],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.11815577858452547, 0.6642941371914554, 0.6302494097246091, 0.16795495069976357]","[0.8926720000000001,0.0,2.8072958910593067,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,2.76618381614865,4.320026023999834,0.4144000000000001,-0.15805696000000005],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.1124101703185617, 0.6642941371914554, 0.6302494097246091, 0.14439746215193186]","[0.8926720000000001,0.0,2.9370408766874188,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.1028242736376446,4.320026023999834,0.4144000000000001,-0.16644556800000004],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.10691940649704969, 0.6642941371914554, 0.6302494097246091, 0.14439746215193186]","[0.8926720000000001,0.0,3.0408368651899087,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.1028242736376446,4.320026023999834,0.4144000000000001,-0.17315645440000005],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.10167723201159899, 0.6642941371914554, 0.6302494097246091, 0.14439746215193186]","[0.8926720000000001,0.0,3.1238736559919005,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.1028242736376446,4.320026023999834,0.4144000000000001,-0.17852516352000006],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.09667640712548142, 0.6642941371914554, 0.6302494097246091, 0.1240060827224982]","[0.8926720000000001,0.0,3.190303088633494,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.27518418787201,4.320026023999834,0.4144000000000001,-0.18282013081600007],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.09190901616276304, 0.6642941371914554, 0.6302494097246091, 0.11785098773188504]","[0.8926720000000001,0.0,3.243446634746769,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.3113515141375816,4.456020819199868,0.4144000000000001,-0.18282013081600007],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.087393907790631, 0.6642941371914554, 0.6302494097246091, 0.11202180459667188]","[0.8926720000000001,0.0,3.3077206388693945,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.362044542382044,4.564816655359895,0.4144000000000001,-0.18282013081600007],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.08311024548754854, 0.6642941371914554, 0.6302494097246091, 0.10649316651160481]","[0.8926720000000001,0.0,3.376547175953099,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.420006298763219,4.6518533242879165,0.4144000000000001,-0.18282013081600007],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.07904096699853928, 0.6642941371914554, 0.6302494097246091, 0.09624197860105767]","[0.8926720000000001,0.0,3.4455342726485463,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.5285377886033804,4.6518533242879165,0.4144000000000001,-0.18625610465280007],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
"[0.07515790570153118, 0.6642941371914554, 0.6302494097246091, 0.09147811587374716]","[0.8926720000000001,0.0,3.500723950004904,0.0,0.0,0.0],[0.7611904000000003,0.0,0.0,0.0,1.6560000000000001,-0.07200000000000001],[0.0,0.0,0.0,0.0,-0.07200000000000001,-0.09760000000000002],[0.0,0.0,3.5671267627687713,4.6518533242879165,1.33152,-0.18625610465280007],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0]"
